2016: GSW vs. CLE
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
14,James Jones,35,5,20,0,1,0,1,1,4,0,2,2,2,0,0,0,2,1,.000,.000,.250,4.0,0.2,0.4,0.4,0.0,0.0,jonesja02
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Stephen Curry,27,7,246,50,124,32,80,26,28,8,26,34,26,6,5,30,25,158,.403,.400,.929,35.1,22.6,4.9,3.7,0.9,0.7,curryst01
2,Klay Thompson,25,7,247,47,110,21,60,22,28,4,17,21,13,7,4,15,13,137,.427,.350,.786,35.3,19.6,3.0,1.9,1.0,0.6,thompkl01
3,Draymond Green,25,6,240,34,70,13,32,18,23,5,57,62,38,10,6,12,19,99,.486,.406,.783,40.0,16.5,10.3,6.3,1.7,1.0,greendr01
4,Harrison Barnes,23,7,222,25,71,9,29,6,10,6,25,31,10,5,3,4,11,65,.352,.310,.600,31.7,9.3,4.4,1.4,0.7,0.4,barneha02
5,Andre Iguodala,32,7,239,27,58,7,23,3,9,16,28,44,29,6,5,8,10,64,.466,.304,.333,34.1,9.1,6.3,4.1,0.9,0.7,iguodan01
6,Shaun Livingston,30,7,148,23,45,0,1,12,14,5,19,24,20,2,2,9,14,58,.511,.000,.857,21.1,8.3,3.4,2.9,0.3,0.3,livinsh01
7,Leandro Barbosa,33,6,79,18,28,5,10,8,11,2,4,6,5,3,1,3,9,49,.643,.500,.727,13.2,8.2,1.0,0.8,0.5,0.2,barbole01
8,Andrew Bogut,31,5,60,8,17,0,1,0,0,9,6,15,3,2,10,5,13,16,.471,.000,,12.0,3.2,3.0,0.6,0.4,2.0,bogutan01
9,Festus Ezeli,26,7,61,6,20,0,0,2,4,7,6,13,3,1,1,2,10,14,.300,,.500,8.7,2.0,1.9,0.4,0.1,0.1,ezelife01
10,Marreese Speights,28,7,33,4,18,4,10,2,2,3,6,9,2,1,2,2,6,14,.222,.400,1.000,4.7,2.0,1.3,0.3,0.1,0.3,speigma01
11,Ian Clark,24,4,19,5,8,3,5,0,0,1,2,3,2,0,0,3,2,13,.625,.600,,4.8,3.3,0.8,0.5,0.0,0.0,clarkia01
12,Anderson Varejão,33,6,41,0,4,0,0,7,14,6,2,8,6,1,0,2,11,7,.000,,.500,6.8,1.2,1.3,1.0,0.2,0.0,varejan01
13,James Michael McAdoo,23,3,18,2,2,0,0,0,0,0,4,4,1,0,0,0,5,4,1.000,,,6.0,1.3,1.3,0.3,0.0,0.0,mcadoja01
14,Brandon Rush,30,5,28,0,3,0,1,1,2,0,5,5,0,2,1,1,2,1,.000,.000,.500,5.6,0.2,1.0,0.0,0.4,0.2,rushbr01
